@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,6100,0,21813,0,1,1,0.218536,1,0.781464,0.358686,1,1,0
1,6100,0,21812,1,0.999954,1,0.218544,1,0.781456,0.358697,0.999964,1.000036,0
2,6100,0,21811,2,0.999908,1,0.218552,1,0.781448,0.358707,0.999928,1.000072,0
3,6100,0,21810,3,0.999862,1,0.21856,1,0.78144,0.358718,0.999893,1.000107,0
4,6100,0,21809,4,0.999817,1,0.218567,1,0.781433,0.358729,0.999857,1.000143,0
5,6100,0,21808,5,0.999771,1,0.218575,1,0.781425,0.358739,0.999821,1.000179,0
6,6099,1,21808,5,0.999771,0.999836,0.218547,0.999836,0.781453,0.358691,0.999785,1.000051,0.000017
7,6099,1,21807,6,0.999725,0.999836,0.218555,0.999836,0.781445,0.358701,0.999749,1.000087,0.000052
8,6099,1,21806,7,0.999679,0.999836,0.218563,0.999836,0.781437,0.358712,0.999713,1.000123,0.000154
9,6099,1,21805,8,0.999633,0.999836,0.218571,0.999836,0.781429,0.358723,0.999678,1.000159,0.000462
10,6099,1,21804,9,0.999587,0.999836,0.218579,0.999836,0.781421,0.358733,0.999642,1.000194,0.000495
11,6099,1,21803,10,0.999542,0.999836,0.218586,0.999836,0.781414,0.358744,0.999606,1.00023,0.000502
12,6099,1,21802,11,0.999496,0.999836,0.218594,0.999836,0.781406,0.358754,0.99957,1.000266,0.000622
13,6099,1,21801,12,0.99945,0.999836,0.218602,0.999836,0.781398,0.358765,0.999534,1.000302,0.000631
14,6099,1,21800,13,0.999404,0.999836,0.21861,0.999836,0.78139,0.358775,0.999498,1.000338,0.000677
15,6099,1,21799,14,0.999358,0.999836,0.218618,0.999836,0.781382,0.358786,0.999463,1.000374,0.000758
16,6099,1,21798,15,0.999312,0.999836,0.218626,0.999836,0.781374,0.358796,0.999427,1.00041,0.000832
17,6099,1,21797,16,0.999266,0.999836,0.218633,0.999836,0.781367,0.358807,0.999391,1.000445,0.000862
18,6099,1,21796,17,0.999221,0.999836,0.218641,0.999836,0.781359,0.358817,0.999355,1.000481,0.000872
19,6099,1,21795,18,0.999175,0.999836,0.218649,0.999836,0.781351,0.358828,0.999319,1.000517,0.001242
20,6099,1,21794,19,0.999129,0.999836,0.218657,0.999836,0.781343,0.358839,0.999283,1.000553,0.001329
21,6099,1,21793,20,0.999083,0.999836,0.218665,0.999836,0.781335,0.358849,0.999248,1.000589,0.001402
22,6099,1,21792,21,0.999037,0.999836,0.218673,0.999836,0.781327,0.35886,0.999212,1.000625,0.001409
23,6099,1,21791,22,0.998991,0.999836,0.218681,0.999836,0.781319,0.35887,0.999176,1.000661,0.001411
24,6099,1,21790,23,0.998946,0.999836,0.218688,0.999836,0.781312,0.358881,0.99914,1.000696,0.001436
25,6099,1,21789,24,0.9989,0.999836,0.218696,0.999836,0.781304,0.358891,0.999104,1.000732,0.001455
26,6099,1,21788,25,0.998854,0.999836,0.218704,0.999836,0.781296,0.358902,0.999069,1.000768,0.001709
27,6099,1,21787,26,0.998808,0.999836,0.218712,0.999836,0.781288,0.358912,0.999033,1.000804,0.001942
28,6099,1,21786,27,0.998762,0.999836,0.21872,0.999836,0.78128,0.358923,0.998997,1.00084,0.001962
29,6099,1,21785,28,0.998716,0.999836,0.218728,0.999836,0.781272,0.358934,0.998961,1.000876,0.002092
30,6099,1,21784,29,0.998671,0.999836,0.218735,0.999836,0.781265,0.358944,0.998925,1.000912,0.002106
31,6099,1,21783,30,0.998625,0.999836,0.218743,0.999836,0.781257,0.358955,0.998889,1.000948,0.002213
32,6099,1,21782,31,0.998579,0.999836,0.218751,0.999836,0.781249,0.358965,0.998854,1.000984,0.00232
33,6098,2,21782,31,0.998579,0.999672,0.218723,0.999672,0.781277,0.358917,0.998818,1.000855,0.002458
34,6098,2,21781,32,0.998533,0.999672,0.218731,0.999672,0.781269,0.358928,0.998782,1.000891,0.002865
35,6098,2,21780,33,0.998487,0.999672,0.218739,0.999672,0.781261,0.358938,0.998746,1.000927,0.002903
36,6098,2,21779,34,0.998441,0.999672,0.218747,0.999672,0.781253,0.358949,0.99871,1.000963,0.002919
37,6098,2,21778,35,0.998395,0.999672,0.218754,0.999672,0.781246,0.358959,0.998674,1.000999,0.002955
