Instance_number,'True Positives','False Negatives','False Positives','True Negatives','False Positive Rate','True Positive Rate',Precision,Recall,Fallout,FMeasure,'Sample Size',Lift,Threshold
0,6100,0,21813,0,1,1,0.218536,1,0.781464,0.358686,1,1,0
1,6002,98,20860,953,0.95631,0.983934,0.223438,0.983934,0.776562,0.364177,0.962347,1.022432,0.000145
2,6002,98,20859,954,0.956265,0.983934,0.223447,0.983934,0.776553,0.364188,0.962311,1.02247,0.000169
3,6002,98,20858,955,0.956219,0.983934,0.223455,0.983934,0.776545,0.364199,0.962276,1.022508,0.000282
4,6002,98,20857,956,0.956173,0.983934,0.223463,0.983934,0.776537,0.36421,0.96224,1.022546,0.000333
5,6002,98,20856,957,0.956127,0.983934,0.223472,0.983934,0.776528,0.364221,0.962204,1.022584,0.000333
6,6002,98,20855,958,0.956081,0.983934,0.22348,0.983934,0.77652,0.364232,0.962168,1.022622,0.000426
7,6002,98,20854,959,0.956035,0.983934,0.223488,0.983934,0.776512,0.364243,0.962132,1.02266,0.000429
8,6002,98,20852,961,0.955944,0.983934,0.223505,0.983934,0.776495,0.364265,0.962061,1.022736,0.000435
9,6002,98,20850,963,0.955852,0.983934,0.223522,0.983934,0.776478,0.364287,0.961989,1.022813,0.000435
10,6002,98,20849,964,0.955806,0.983934,0.22353,0.983934,0.77647,0.364299,0.961953,1.022851,0.000476
11,6002,98,20848,965,0.95576,0.983934,0.223538,0.983934,0.776462,0.36431,0.961917,1.022889,0.000476
12,6002,98,20847,966,0.955714,0.983934,0.223547,0.983934,0.776453,0.364321,0.961882,1.022927,0.000488
13,6002,98,20845,968,0.955623,0.983934,0.223563,0.983934,0.776437,0.364343,0.96181,1.023003,0.0005
14,6002,98,20844,969,0.955577,0.983934,0.223571,0.983934,0.776429,0.364354,0.961774,1.023041,0.0005
15,6002,98,20841,972,0.955439,0.983934,0.223596,0.983934,0.776404,0.364387,0.961667,1.023155,0.000521
16,6002,98,20840,973,0.955394,0.983934,0.223605,0.983934,0.776395,0.364398,0.961631,1.023194,0.000556
17,6002,98,20837,976,0.955256,0.983934,0.22363,0.983934,0.77637,0.364431,0.961523,1.023308,0.000606
18,6002,98,20836,977,0.95521,0.983934,0.223638,0.983934,0.776362,0.364442,0.961487,1.023346,0.000617
19,6002,98,20835,978,0.955164,0.983934,0.223646,0.983934,0.776354,0.364453,0.961452,1.023384,0.000625
20,6002,98,20834,979,0.955119,0.983934,0.223655,0.983934,0.776345,0.364464,0.961416,1.023422,0.000625
21,6002,98,20832,981,0.955027,0.983934,0.223671,0.983934,0.776329,0.364487,0.961344,1.023499,0.000648
22,6002,98,20830,983,0.954935,0.983934,0.223688,0.983934,0.776312,0.364509,0.961273,1.023575,0.000656
23,6002,98,20829,984,0.954889,0.983934,0.223696,0.983934,0.776304,0.36452,0.961237,1.023613,0.000673
24,6002,98,20828,985,0.954843,0.983934,0.223705,0.983934,0.776295,0.364531,0.961201,1.023651,0.00069
25,6002,98,20826,987,0.954752,0.983934,0.223721,0.983934,0.776279,0.364553,0.961129,1.023728,0.000698
26,6002,98,20824,989,0.95466,0.983934,0.223738,0.983934,0.776262,0.364575,0.961058,1.023804,0.000714
27,6002,98,20823,990,0.954614,0.983934,0.223747,0.983934,0.776253,0.364586,0.961022,1.023842,0.000714
28,6001,99,20822,991,0.954568,0.98377,0.223726,0.98377,0.776274,0.364548,0.96095,1.023748,0.00075
29,6001,99,20821,992,0.954523,0.98377,0.223734,0.98377,0.776266,0.364559,0.960914,1.023786,0.000769
30,6001,99,20819,994,0.954431,0.98377,0.223751,0.98377,0.776249,0.364581,0.960843,1.023862,0.0008
31,6000,100,20819,994,0.954431,0.983607,0.223722,0.983607,0.776278,0.364531,0.960807,1.02373,0.000806
32,6000,100,20818,995,0.954385,0.983607,0.22373,0.983607,0.77627,0.364542,0.960771,1.023768,0.000806
