@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,13854,0,14059,0,1,1,0.496328,1,0.503672,0.663395,1,1,0
1,13854,0,14058,1,0.999929,1,0.496346,1,0.503654,0.66341,0.999964,1.000036,0
2,13854,0,14057,2,0.999858,1,0.496363,1,0.503637,0.663426,0.999928,1.000072,0
3,13854,0,14056,3,0.999787,1,0.496381,1,0.503619,0.663442,0.999893,1.000107,0
4,13853,1,14056,3,0.999787,0.999928,0.496363,0.999928,0.503637,0.66341,0.999857,1.000071,0
5,13852,2,14056,3,0.999787,0.999856,0.496345,0.999856,0.503655,0.663378,0.999821,1.000035,0
6,13852,2,14055,4,0.999715,0.999856,0.496363,0.999856,0.503637,0.663394,0.999785,1.000071,0
7,13852,2,14054,5,0.999644,0.999856,0.496381,0.999856,0.503619,0.66341,0.999749,1.000106,0
8,13852,2,14053,6,0.999573,0.999856,0.496398,0.999856,0.503602,0.663426,0.999713,1.000142,0
9,13852,2,14052,7,0.999502,0.999856,0.496416,0.999856,0.503584,0.663442,0.999678,1.000178,0
10,13851,3,14052,7,0.999502,0.999783,0.496398,0.999783,0.503602,0.66341,0.999642,1.000142,0
11,13851,3,14051,8,0.999431,0.999783,0.496416,0.999783,0.503584,0.663426,0.999606,1.000178,0
12,13851,3,14050,9,0.99936,0.999783,0.496434,0.999783,0.503566,0.663442,0.99957,1.000213,0
13,13851,3,14049,10,0.999289,0.999783,0.496452,0.999783,0.503548,0.663457,0.999534,1.000249,0
14,13851,3,14048,11,0.999218,0.999783,0.496469,0.999783,0.503531,0.663473,0.999498,1.000285,0
15,13851,3,14047,12,0.999146,0.999783,0.496487,0.999783,0.503513,0.663489,0.999463,1.000321,0
16,13851,3,14046,13,0.999075,0.999783,0.496505,0.999783,0.503495,0.663505,0.999427,1.000357,0
17,13851,3,14045,14,0.999004,0.999783,0.496523,0.999783,0.503477,0.663521,0.999391,1.000393,0
18,13851,3,14044,15,0.998933,0.999783,0.496541,0.999783,0.503459,0.663537,0.999355,1.000429,0
19,13851,3,14043,16,0.998862,0.999783,0.496558,0.999783,0.503442,0.663553,0.999319,1.000464,0
20,13851,3,14042,17,0.998791,0.999783,0.496576,0.999783,0.503424,0.663569,0.999283,1.0005,0
21,13850,4,14042,17,0.998791,0.999711,0.496558,0.999711,0.503442,0.663537,0.999248,1.000464,0
22,13850,4,14041,18,0.99872,0.999711,0.496576,0.999711,0.503424,0.663553,0.999212,1.0005,0
23,13850,4,14040,19,0.998649,0.999711,0.496594,0.999711,0.503406,0.663568,0.999176,1.000536,0
24,13849,5,14040,19,0.998649,0.999639,0.496576,0.999639,0.503424,0.663536,0.99914,1.000499,0
25,13849,5,14039,20,0.998577,0.999639,0.496594,0.999639,0.503406,0.663552,0.999104,1.000535,0
26,13849,5,14038,21,0.998506,0.999639,0.496611,0.999639,0.503389,0.663568,0.999069,1.000571,0
27,13849,5,14037,22,0.998435,0.999639,0.496629,0.999639,0.503371,0.663584,0.999033,1.000607,0
28,13849,5,14036,23,0.998364,0.999639,0.496647,0.999639,0.503353,0.6636,0.998997,1.000643,0
29,13849,5,14035,24,0.998293,0.999639,0.496665,0.999639,0.503335,0.663616,0.998961,1.000679,0
30,13849,5,14034,25,0.998222,0.999639,0.496683,0.999639,0.503317,0.663632,0.998925,1.000715,0
31,13849,5,14033,26,0.998151,0.999639,0.4967,0.999639,0.5033,0.663648,0.998889,1.000751,0
32,13848,6,14033,26,0.998151,0.999567,0.496682,0.999567,0.503318,0.663616,0.998854,1.000714,0
33,13848,6,14032,27,0.99808,0.999567,0.4967,0.999567,0.5033,0.663632,0.998818,1.00075,0
34,13848,6,14031,28,0.998008,0.999567,0.496718,0.999567,0.503282,0.663647,0.998782,1.000786,0
35,13848,6,14030,29,0.997937,0.999567,0.496736,0.999567,0.503264,0.663663,0.998746,1.000822,0
36,13848,6,14029,30,0.997866,0.999567,0.496754,0.999567,0.503246,0.663679,0.99871,1.000858,0
37,13848,6,14028,31,0.997795,0.999567,0.496771,0.999567,0.503229,0.663695,0.998674,1.000894,0
38,13847,7,14028,31,0.997795,0.999495,0.496753,0.999495,0.503247,0.663663,0.998639,1.000857,0
39,13846,8,14028,31,0.997795,0.999423,0.496735,0.999423,0.503265,0.663631,0.998603,1.000821,0
40,13846,8,14027,32,0.997724,0.999423,0.496753,0.999423,0.503247,0.663647,0.998567,1.000857,0
41,13846,8,14026,33,0.997653,0.999423,0.496771,0.999423,0.503229,0.663663,0.998531,1.000893,0
42,13845,9,14026,33,0.997653,0.99935,0.496753,0.99935,0.503247,0.663631,0.998495,1.000856,0
43,13845,9,14025,34,0.997582,0.99935,0.496771,0.99935,0.503229,0.663647,0.998459,1.000892,0
44,13845,9,14024,35,0.99751,0.99935,0.496789,0.99935,0.503211,0.663663,0.998424,1.000928,0
45,13845,9,14023,36,0.997439,0.99935,0.496806,0.99935,0.503194,0.663679,0.998388,1.000964,0
46,13845,9,14022,37,0.997368,0.99935,0.496824,0.99935,0.503176,0.663695,0.998352,1.001,0
47,13844,10,14022,37,0.997368,0.999278,0.496806,0.999278,0.503194,0.663663,0.998316,1.000964,0
48,13844,10,14021,38,0.997297,0.999278,0.496824,0.999278,0.503176,0.663678,0.99828,1.001,0
49,13844,10,14020,39,0.997226,0.999278,0.496842,0.999278,0.503158,0.663694,0.998245,1.001035,0
50,13844,10,14019,40,0.997155,0.999278,0.49686,0.999278,0.50314,0.66371,0.998209,1.001071,0
51,13843,11,14019,40,0.997155,0.999206,0.496842,0.999206,0.503158,0.663678,0.998173,1.001035,0
52,13843,11,14018,41,0.997084,0.999206,0.496859,0.999206,0.503141,0.663694,0.998137,1.001071,0
53,13843,11,14017,42,0.997013,0.999206,0.496877,0.999206,0.503123,0.66371,0.998101,1.001107,0
54,13842,12,14017,42,0.997013,0.999134,0.496859,0.999134,0.503141,0.663678,0.998065,1.00107,0
55,13842,12,14016,43,0.996941,0.999134,0.496877,0.999134,0.503123,0.663694,0.99803,1.001106,0
56,13842,12,14015,44,0.99687,0.999134,0.496895,0.999134,0.503105,0.66371,0.997994,1.001142,0
57,13842,12,14014,45,0.996799,0.999134,0.496913,0.999134,0.503087,0.663726,0.997958,1.001178,0
58,13841,13,14014,45,0.996799,0.999062,0.496895,0.999062,0.503105,0.663694,0.997922,1.001142,0
59,13841,13,14013,46,0.996728,0.999062,0.496912,0.999062,0.503088,0.66371,0.997886,1.001178,0
60,13841,13,14012,47,0.996657,0.999062,0.49693,0.999062,0.50307,0.663726,0.99785,1.001214,0
61,13841,13,14011,48,0.996586,0.999062,0.496948,0.999062,0.503052,0.663741,0.997815,1.00125,0
62,13841,13,14010,49,0.996515,0.999062,0.496966,0.999062,0.503034,0.663757,0.997779,1.001286,0
63,13841,13,14009,50,0.996444,0.999062,0.496984,0.999062,0.503016,0.663773,0.997743,1.001322,0
64,13841,13,14008,51,0.996372,0.999062,0.497002,0.999062,0.502998,0.663789,0.997707,1.001358,0
65,13841,13,14007,52,0.996301,0.999062,0.49702,0.999062,0.50298,0.663805,0.997671,1.001394,0
66,13841,13,14005,54,0.996159,0.999062,0.497055,0.999062,0.502945,0.663837,0.9976,1.001465,0
67,13840,14,14005,54,0.996159,0.998989,0.497037,0.998989,0.502963,0.663805,0.997564,1.001429,0
68,13840,14,14004,55,0.996088,0.998989,0.497055,0.998989,0.502945,0.663821,0.997528,1.001465,0
69,13840,14,14003,56,0.996017,0.998989,0.497073,0.998989,0.502927,0.663837,0.997492,1.001501,0
70,13839,15,14003,56,0.996017,0.998917,0.497055,0.998917,0.502945,0.663805,0.997456,1.001465,0
71,13839,15,14002,57,0.995946,0.998917,0.497073,0.998917,0.502927,0.663821,0.997421,1.001501,0
72,13839,15,14001,58,0.995875,0.998917,0.497091,0.998917,0.502909,0.663837,0.997385,1.001537,0
73,13838,16,14001,58,0.995875,0.998845,0.497072,0.998845,0.502928,0.663804,0.997349,1.0015,0
74,13837,17,14001,58,0.995875,0.998773,0.497054,0.998773,0.502946,0.663772,0.997313,1.001464,0
75,13837,17,14000,59,0.995803,0.998773,0.497072,0.998773,0.502928,0.663788,0.997277,1.0015,0
76,13837,17,13999,60,0.995732,0.998773,0.49709,0.998773,0.50291,0.663804,0.997241,1.001536,0
77,13836,18,13999,60,0.995732,0.998701,0.497072,0.998701,0.502928,0.663772,0.997206,1.001499,0
78,13836,18,13998,61,0.995661,0.998701,0.49709,0.998701,0.50291,0.663788,0.99717,1.001535,0
79,13835,19,13998,61,0.995661,0.998629,0.497072,0.998629,0.502928,0.663756,0.997134,1.001499,0
80,13834,20,13998,61,0.995661,0.998556,0.497054,0.998556,0.502946,0.663724,0.997098,1.001462,0
81,13834,20,13997,62,0.99559,0.998556,0.497072,0.998556,0.502928,0.66374,0.997062,1.001498,0
82,13834,20,13996,63,0.995519,0.998556,0.497089,0.998556,0.502911,0.663756,0.997026,1.001534,0
83,13834,20,13995,64,0.995448,0.998556,0.497107,0.998556,0.502893,0.663772,0.996991,1.00157,0
84,13833,21,13995,64,0.995448,0.998484,0.497089,0.998484,0.502911,0.66374,0.996955,1.001534,0
85,13833,21,13994,65,0.995377,0.998484,0.497107,0.998484,0.502893,0.663756,0.996919,1.00157,0
86,13833,21,13993,66,0.995305,0.998484,0.497125,0.998484,0.502875,0.663772,0.996883,1.001606,0
87,13833,21,13992,67,0.995234,0.998484,0.497143,0.998484,0.502857,0.663788,0.996847,1.001642,0
88,13832,22,13992,67,0.995234,0.998412,0.497125,0.998412,0.502875,0.663755,0.996812,1.001606,0
89,13831,23,13992,67,0.995234,0.99834,0.497107,0.99834,0.502893,0.663723,0.996776,1.001569,0
90,13830,24,13992,67,0.995234,0.998268,0.497089,0.998268,0.502911,0.663691,0.99674,1.001533,0
91,13829,25,13992,67,0.995234,0.998195,0.497071,0.998195,0.502929,0.663659,0.996704,1.001496,0
92,13828,26,13992,67,0.995234,0.998123,0.497052,0.998123,0.502948,0.663627,0.996668,1.00146,0
93,13828,26,13991,68,0.995163,0.998123,0.49707,0.998123,0.50293,0.663643,0.996632,1.001496,0
94,13828,26,13990,69,0.995092,0.998123,0.497088,0.998123,0.502912,0.663659,0.996597,1.001532,0
95,13827,27,13990,69,0.995092,0.998051,0.49707,0.998051,0.50293,0.663627,0.996561,1.001496,0
96,13827,27,13989,70,0.995021,0.998051,0.497088,0.998051,0.502912,0.663643,0.996525,1.001532,0
97,13827,27,13988,71,0.99495,0.998051,0.497106,0.998051,0.502894,0.663659,0.996489,1.001568,0
98,13827,27,13987,72,0.994879,0.998051,0.497124,0.998051,0.502876,0.663675,0.996453,1.001604,0
99,13827,27,13986,73,0.994808,0.998051,0.497142,0.998051,0.502858,0.663691,0.996417,1.00164,0
100,13826,28,13986,73,0.994808,0.997979,0.497124,0.997979,0.502876,0.663659,0.996382,1.001603,0
101,13825,29,13986,73,0.994808,0.997907,0.497105,0.997907,0.502895,0.663627,0.996346,1.001567,0
102,13825,29,13985,74,0.994736,0.997907,0.497123,0.997907,0.502877,0.663642,0.99631,1.001603,0
