@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,13854,0,14059,0,1,1,0.496328,1,0.503672,0.663395,1,1,0
1,13822,32,13970,89,0.99367,0.99769,0.497337,0.99769,0.502663,0.663785,0.995665,1.002034,0.000833
2,13822,32,13969,90,0.993598,0.99769,0.497355,0.99769,0.502645,0.663801,0.995629,1.00207,0.000976
3,13822,32,13968,91,0.993527,0.99769,0.497373,0.99769,0.502627,0.663817,0.995593,1.002106,0.001111
4,13822,32,13966,93,0.993385,0.99769,0.497409,0.99769,0.502591,0.663849,0.995522,1.002178,0.001333
5,13821,33,13966,93,0.993385,0.997618,0.497391,0.997618,0.502609,0.663817,0.995486,1.002142,0.002
6,13821,33,13965,94,0.993314,0.997618,0.497409,0.997618,0.502591,0.663833,0.99545,1.002178,0.0022
7,13820,34,13965,94,0.993314,0.997546,0.497391,0.997546,0.502609,0.663801,0.995414,1.002141,0.002308
8,13820,34,13964,95,0.993243,0.997546,0.497409,0.997546,0.502591,0.663817,0.995378,1.002177,0.0025
9,13820,34,13958,101,0.992816,0.997546,0.497516,0.997546,0.502484,0.663912,0.995164,1.002394,0.0025
10,13818,36,13958,101,0.992816,0.997401,0.49748,0.997401,0.50252,0.663848,0.995092,1.002321,0.002813
11,13818,36,13957,102,0.992745,0.997401,0.497498,0.997401,0.502502,0.663864,0.995056,1.002357,0.002818
12,13818,36,13956,103,0.992674,0.997401,0.497516,0.997401,0.502484,0.66388,0.99502,1.002393,0.002857
13,13815,39,13954,105,0.992531,0.997185,0.497497,0.997185,0.502503,0.663816,0.994841,1.002356,0.002958
14,13815,39,13953,106,0.99246,0.997185,0.497515,0.997185,0.502485,0.663832,0.994805,1.002392,0.003145
15,13815,39,13952,107,0.992389,0.997185,0.497533,0.997185,0.502467,0.663848,0.994769,1.002428,0.003193
16,13815,39,13951,108,0.992318,0.997185,0.497551,0.997185,0.502449,0.663864,0.994734,1.002464,0.00325
17,13815,39,13950,109,0.992247,0.997185,0.497569,0.997185,0.502431,0.663879,0.994698,1.0025,0.003333
18,13815,39,13949,110,0.992176,0.997185,0.497587,0.997185,0.502413,0.663895,0.994662,1.002536,0.003333
19,13813,41,13944,115,0.99182,0.997041,0.49764,0.997041,0.50236,0.663911,0.994411,1.002644,0.003404
20,13812,42,13944,115,0.99182,0.996968,0.497622,0.996968,0.502378,0.663879,0.994375,1.002608,0.003571
21,13812,42,13943,116,0.991749,0.996968,0.49764,0.996968,0.50236,0.663895,0.99434,1.002644,0.00369
22,13812,42,13942,117,0.991678,0.996968,0.497658,0.996968,0.502342,0.663911,0.994304,1.00268,0.003714
23,13812,42,13941,118,0.991607,0.996968,0.497676,0.996968,0.502324,0.663927,0.994268,1.002716,0.003793
24,13811,43,13941,118,0.991607,0.996896,0.497658,0.996896,0.502342,0.663895,0.994232,1.00268,0.003795
