@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,7959,0,19954,0,1,1,0.285136,1,0.714864,0.443744,1,1,0
1,7959,0,19953,1,0.99995,1,0.285146,1,0.714854,0.443757,0.999964,1.000036,0
2,7959,0,19952,2,0.9999,1,0.285156,1,0.714844,0.443769,0.999928,1.000072,0
3,7958,1,19952,2,0.9999,0.999874,0.285131,0.999874,0.714869,0.443726,0.999893,0.999982,0
4,7958,1,19951,3,0.99985,0.999874,0.285141,0.999874,0.714859,0.443738,0.999857,1.000018,0
5,7958,1,19950,4,0.9998,0.999874,0.285151,0.999874,0.714849,0.443751,0.999821,1.000053,0
6,7958,1,19949,5,0.999749,0.999874,0.285161,0.999874,0.714839,0.443763,0.999785,1.000089,0
7,7958,1,19948,6,0.999699,0.999874,0.285172,0.999874,0.714828,0.443775,0.999749,1.000125,0
8,7958,1,19947,7,0.999649,0.999874,0.285182,0.999874,0.714818,0.443788,0.999713,1.000161,0
9,7958,1,19946,8,0.999599,0.999874,0.285192,0.999874,0.714808,0.4438,0.999678,1.000197,0
10,7958,1,19945,9,0.999549,0.999874,0.285202,0.999874,0.714798,0.443812,0.999642,1.000233,0
11,7957,2,19945,9,0.999549,0.999749,0.285177,0.999749,0.714823,0.443769,0.999606,1.000143,0
12,7957,2,19944,10,0.999499,0.999749,0.285187,0.999749,0.714813,0.443781,0.99957,1.000179,0
13,7956,3,19944,10,0.999499,0.999623,0.285161,0.999623,0.714839,0.443738,0.999534,1.000089,0
14,7956,3,19943,11,0.999449,0.999623,0.285172,0.999623,0.714828,0.44375,0.999498,1.000125,0
15,7956,3,19941,13,0.999349,0.999623,0.285192,0.999623,0.714808,0.443775,0.999427,1.000196,0.000069
16,7956,3,19940,14,0.999298,0.999623,0.285202,0.999623,0.714798,0.443787,0.999391,1.000232,0.000094
17,7956,3,19939,15,0.999248,0.999623,0.285212,0.999623,0.714788,0.4438,0.999355,1.000268,0.000137
18,7956,3,19938,16,0.999198,0.999623,0.285223,0.999623,0.714777,0.443812,0.999319,1.000304,0.000151
19,7956,3,19937,17,0.999148,0.999623,0.285233,0.999623,0.714767,0.443825,0.999283,1.00034,0.000262
20,7956,3,19936,18,0.999098,0.999623,0.285243,0.999623,0.714757,0.443837,0.999248,1.000376,0.000289
21,7956,3,19935,19,0.999048,0.999623,0.285253,0.999623,0.714747,0.443849,0.999212,1.000412,0.000356
22,7956,3,19934,20,0.998998,0.999623,0.285264,0.999623,0.714736,0.443862,0.999176,1.000447,0.000366
23,7956,3,19933,21,0.998948,0.999623,0.285274,0.999623,0.714726,0.443874,0.99914,1.000483,0.000386
24,7956,3,19932,22,0.998897,0.999623,0.285284,0.999623,0.714716,0.443887,0.999104,1.000519,0.000482
25,7956,3,19931,23,0.998847,0.999623,0.285294,0.999623,0.714706,0.443899,0.999069,1.000555,0.000592
26,7956,3,19930,24,0.998797,0.999623,0.285304,0.999623,0.714696,0.443911,0.999033,1.000591,0.000651
27,7956,3,19929,25,0.998747,0.999623,0.285315,0.999623,0.714685,0.443924,0.998997,1.000627,0.000948
28,7956,3,19928,26,0.998697,0.999623,0.285325,0.999623,0.714675,0.443936,0.998961,1.000663,0.00095
29,7956,3,19927,27,0.998647,0.999623,0.285335,0.999623,0.714665,0.443948,0.998925,1.000699,0.001127
30,7956,3,19926,28,0.998597,0.999623,0.285345,0.999623,0.714655,0.443961,0.998889,1.000734,0.001185
31,7956,3,19925,29,0.998547,0.999623,0.285356,0.999623,0.714644,0.443973,0.998854,1.00077,0.001193
32,7956,3,19924,30,0.998497,0.999623,0.285366,0.999623,0.714634,0.443986,0.998818,1.000806,0.00131
33,7956,3,19923,31,0.998446,0.999623,0.285376,0.999623,0.714624,0.443998,0.998782,1.000842,0.001457
34,7956,3,19922,32,0.998396,0.999623,0.285386,0.999623,0.714614,0.44401,0.998746,1.000878,0.001536
35,7956,3,19921,33,0.998346,0.999623,0.285397,0.999623,0.714603,0.444023,0.99871,1.000914,0.001588
36,7956,3,19920,34,0.998296,0.999623,0.285407,0.999623,0.714593,0.444035,0.998674,1.00095,0.001615
37,7956,3,19919,35,0.998246,0.999623,0.285417,0.999623,0.714583,0.444048,0.998639,1.000986,0.001623
38,7956,3,19918,36,0.998196,0.999623,0.285427,0.999623,0.714573,0.44406,0.998603,1.001022,0.001943
39,7956,3,19917,37,0.998146,0.999623,0.285438,0.999623,0.714562,0.444072,0.998567,1.001058,0.001977
40,7956,3,19916,38,0.998096,0.999623,0.285448,0.999623,0.714552,0.444085,0.998531,1.001094,0.002086
41,7956,3,19915,39,0.998046,0.999623,0.285458,0.999623,0.714542,0.444097,0.998495,1.001129,0.002118
42,7956,3,19914,40,0.997995,0.999623,0.285468,0.999623,0.714532,0.44411,0.998459,1.001165,0.002153
43,7956,3,19913,41,0.997945,0.999623,0.285478,0.999623,0.714522,0.444122,0.998424,1.001201,0.002227
44,7956,3,19912,42,0.997895,0.999623,0.285489,0.999623,0.714511,0.444134,0.998388,1.001237,0.002531
45,7956,3,19911,43,0.997845,0.999623,0.285499,0.999623,0.714501,0.444147,0.998352,1.001273,0.002561
46,7956,3,19910,44,0.997795,0.999623,0.285509,0.999623,0.714491,0.444159,0.998316,1.001309,0.002613
47,7956,3,19909,45,0.997745,0.999623,0.285519,0.999623,0.714481,0.444172,0.99828,1.001345,0.002653
48,7956,3,19908,46,0.997695,0.999623,0.28553,0.999623,0.71447,0.444184,0.998245,1.001381,0.002668
49,7956,3,19907,47,0.997645,0.999623,0.28554,0.999623,0.71446,0.444196,0.998209,1.001417,0.002728
50,7956,3,19906,48,0.997594,0.999623,0.28555,0.999623,0.71445,0.444209,0.998173,1.001453,0.00281
51,7956,3,19905,49,0.997544,0.999623,0.28556,0.999623,0.71444,0.444221,0.998137,1.001489,0.002844
52,7956,3,19904,50,0.997494,0.999623,0.285571,0.999623,0.714429,0.444234,0.998101,1.001525,0.002981
53,7956,3,19903,51,0.997444,0.999623,0.285581,0.999623,0.714419,0.444246,0.998065,1.001561,0.003077
54,7956,3,19902,52,0.997394,0.999623,0.285591,0.999623,0.714409,0.444258,0.99803,1.001597,0.003078
55,7956,3,19901,53,0.997344,0.999623,0.285601,0.999623,0.714399,0.444271,0.997994,1.001633,0.003133
56,7956,3,19900,54,0.997294,0.999623,0.285612,0.999623,0.714388,0.444283,0.997958,1.001669,0.003151
57,7956,3,19899,55,0.997244,0.999623,0.285622,0.999623,0.714378,0.444296,0.997922,1.001704,0.0032
58,7956,3,19898,56,0.997194,0.999623,0.285632,0.999623,0.714368,0.444308,0.997886,1.00174,0.003243
59,7956,3,19897,57,0.997143,0.999623,0.285642,0.999623,0.714358,0.44432,0.99785,1.001776,0.003361
60,7956,3,19896,58,0.997093,0.999623,0.285653,0.999623,0.714347,0.444333,0.997815,1.001812,0.003406
61,7956,3,19895,59,0.997043,0.999623,0.285663,0.999623,0.714337,0.444345,0.997779,1.001848,0.003548
62,7956,3,19894,60,0.996993,0.999623,0.285673,0.999623,0.714327,0.444358,0.997743,1.001884,0.003557
63,7956,3,19893,61,0.996943,0.999623,0.285684,0.999623,0.714316,0.44437,0.997707,1.00192,0.003643
64,7956,3,19892,62,0.996893,0.999623,0.285694,0.999623,0.714306,0.444382,0.997671,1.001956,0.00377
65,7956,3,19891,63,0.996843,0.999623,0.285704,0.999623,0.714296,0.444395,0.997636,1.001992,0.00381
66,7956,3,19890,64,0.996793,0.999623,0.285714,0.999623,0.714286,0.444407,0.9976,1.002028,0.003886
67,7956,3,19889,65,0.996743,0.999623,0.285725,0.999623,0.714275,0.44442,0.997564,1.002064,0.003933
68,7956,3,19888,66,0.996692,0.999623,0.285735,0.999623,0.714265,0.444432,0.997528,1.0021,0.004047
69,7956,3,19887,67,0.996642,0.999623,0.285745,0.999623,0.714255,0.444444,0.997492,1.002136,0.004049
70,7956,3,19886,68,0.996592,0.999623,0.285755,0.999623,0.714245,0.444457,0.997456,1.002172,0.004283
71,7956,3,19885,69,0.996542,0.999623,0.285766,0.999623,0.714234,0.444469,0.997421,1.002208,0.004346
72,7956,3,19884,70,0.996492,0.999623,0.285776,0.999623,0.714224,0.444482,0.997385,1.002244,0.004431
73,7956,3,19883,71,0.996442,0.999623,0.285786,0.999623,0.714214,0.444494,0.997349,1.00228,0.004547
74,7956,3,19882,72,0.996392,0.999623,0.285796,0.999623,0.714204,0.444507,0.997313,1.002316,0.005141
75,7956,3,19881,73,0.996342,0.999623,0.285807,0.999623,0.714193,0.444519,0.997277,1.002352,0.005206
76,7956,3,19880,74,0.996291,0.999623,0.285817,0.999623,0.714183,0.444531,0.997241,1.002388,0.005438
77,7956,3,19879,75,0.996241,0.999623,0.285827,0.999623,0.714173,0.444544,0.997206,1.002424,0.005451
78,7956,3,19878,76,0.996191,0.999623,0.285837,0.999623,0.714163,0.444556,0.99717,1.00246,0.005503
79,7956,3,19877,77,0.996141,0.999623,0.285848,0.999623,0.714152,0.444569,0.997134,1.002496,0.005722
80,7956,3,19876,78,0.996091,0.999623,0.285858,0.999623,0.714142,0.444581,0.997098,1.002532,0.005793
81,7956,3,19875,79,0.996041,0.999623,0.285868,0.999623,0.714132,0.444593,0.997062,1.002568,0.005803
82,7955,4,19875,79,0.996041,0.999497,0.285843,0.999497,0.714157,0.44455,0.997026,1.002478,0.00581
83,7955,4,19874,80,0.995991,0.999497,0.285853,0.999497,0.714147,0.444562,0.996991,1.002514,0.005835
84,7955,4,19873,81,0.995941,0.999497,0.285863,0.999497,0.714137,0.444575,0.996955,1.00255,0.005844
85,7955,4,19872,82,0.995891,0.999497,0.285873,0.999497,0.714127,0.444587,0.996919,1.002586,0.005849
86,7955,4,19871,83,0.99584,0.999497,0.285884,0.999497,0.714116,0.4446,0.996883,1.002622,0.005886
87,7955,4,19870,84,0.99579,0.999497,0.285894,0.999497,0.714106,0.444612,0.996847,1.002658,0.006098
88,7955,4,19869,85,0.99574,0.999497,0.285904,0.999497,0.714096,0.444625,0.996812,1.002694,0.006124
89,7955,4,19868,86,0.99569,0.999497,0.285915,0.999497,0.714085,0.444637,0.996776,1.002731,0.006208
90,7955,4,19867,87,0.99564,0.999497,0.285925,0.999497,0.714075,0.444649,0.99674,1.002767,0.00625
91,7955,4,19866,88,0.99559,0.999497,0.285935,0.999497,0.714065,0.444662,0.996704,1.002803,0.006398
92,7955,4,19865,89,0.99554,0.999497,0.285945,0.999497,0.714055,0.444674,0.996668,1.002839,0.006778
93,7955,4,19864,90,0.99549,0.999497,0.285956,0.999497,0.714044,0.444687,0.996632,1.002875,0.006904
94,7955,4,19863,91,0.99544,0.999497,0.285966,0.999497,0.714034,0.444699,0.996597,1.002911,0.007002
95,7955,4,19862,92,0.995389,0.999497,0.285976,0.999497,0.714024,0.444712,0.996561,1.002947,0.007063
96,7955,4,19861,93,0.995339,0.999497,0.285986,0.999497,0.714014,0.444724,0.996525,1.002983,0.007082
97,7955,4,19860,94,0.995289,0.999497,0.285997,0.999497,0.714003,0.444736,0.996489,1.003019,0.007111
98,7955,4,19859,95,0.995239,0.999497,0.286007,0.999497,0.713993,0.444749,0.996453,1.003055,0.007169
99,7955,4,19858,96,0.995189,0.999497,0.286017,0.999497,0.713983,0.444761,0.996417,1.003091,0.007284
100,7955,4,19857,97,0.995139,0.999497,0.286028,0.999497,0.713972,0.444774,0.996382,1.003127,0.007446
101,7955,4,19856,98,0.995089,0.999497,0.286038,0.999497,0.713962,0.444786,0.996346,1.003163,0.007644
102,7955,4,19855,99,0.995039,0.999497,0.286048,0.999497,0.713952,0.444799,0.99631,1.003199,0.007794
103,7955,4,19854,100,0.994988,0.999497,0.286058,0.999497,0.713942,0.444811,0.996274,1.003235,0.007885
104,7955,4,19853,101,0.994938,0.999497,0.286069,0.999497,0.713931,0.444823,0.996238,1.003271,0.007953
105,7955,4,19852,102,0.994888,0.999497,0.286079,0.999497,0.713921,0.444836,0.996202,1.003307,0.007973
106,7955,4,19851,103,0.994838,0.999497,0.286089,0.999497,0.713911,0.444848,0.996167,1.003344,0.007985
107,7955,4,19850,104,0.994788,0.999497,0.2861,0.999497,0.7139,0.444861,0.996131,1.00338,0.008043
108,7955,4,19849,105,0.994738,0.999497,0.28611,0.999497,0.71389,0.444873,0.996095,1.003416,0.008075
109,7955,4,19848,106,0.994688,0.999497,0.28612,0.999497,0.71388,0.444886,0.996059,1.003452,0.008325
110,7955,4,19847,107,0.994638,0.999497,0.28613,0.999497,0.71387,0.444898,0.996023,1.003488,0.008347
