@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,7959,0,19954,0,1,1,0.285136,1,0.714864,0.443744,1,1,0
1,7880,79,19405,549,0.972487,0.990074,0.288803,0.990074,0.711197,0.447168,0.977502,1.012862,0.000238
2,7880,79,19404,550,0.972437,0.990074,0.288814,0.990074,0.711186,0.447181,0.977466,1.012899,0.00027
3,7879,80,19404,550,0.972437,0.989948,0.288788,0.989948,0.711212,0.447137,0.97743,1.012808,0.000294
4,7878,81,19404,550,0.972437,0.989823,0.288762,0.989823,0.711238,0.447093,0.977394,1.012716,0.000435
5,7878,81,19402,552,0.972336,0.989823,0.288783,0.989823,0.711217,0.447118,0.977322,1.012791,0.000448
6,7878,81,19401,553,0.972286,0.989823,0.288794,0.989823,0.711206,0.447131,0.977287,1.012828,0.000455
7,7878,81,19399,555,0.972186,0.989823,0.288815,0.989823,0.711185,0.447156,0.977215,1.012902,0.000476
8,7878,81,19398,556,0.972136,0.989823,0.288825,0.989823,0.711175,0.447169,0.977179,1.012939,0.000526
9,7878,81,19397,557,0.972086,0.989823,0.288836,0.989823,0.711164,0.447182,0.977143,1.012976,0.000556
10,7877,82,19394,560,0.971935,0.989697,0.288842,0.989697,0.711158,0.447176,0.977,1.012996,0.000588
11,7877,82,19393,561,0.971885,0.989697,0.288852,0.989697,0.711148,0.447188,0.976964,1.013033,0.000625
12,7877,82,19391,563,0.971785,0.989697,0.288873,0.989697,0.711127,0.447214,0.976892,1.013108,0.000667
13,7877,82,19390,564,0.971735,0.989697,0.288884,0.989697,0.711116,0.447226,0.976857,1.013145,0.000714
14,7877,82,19388,566,0.971635,0.989697,0.288905,0.989697,0.711095,0.447252,0.976785,1.013219,0.000714
15,7877,82,19387,567,0.971585,0.989697,0.288916,0.989697,0.711084,0.447265,0.976749,1.013256,0.000833
16,7876,83,19386,568,0.971535,0.989572,0.2889,0.989572,0.7111,0.447233,0.976678,1.013202,0.000909
17,7876,83,19385,569,0.971484,0.989572,0.288911,0.989572,0.711089,0.447246,0.976642,1.013239,0.000909
18,7876,83,19384,570,0.971434,0.989572,0.288921,0.989572,0.711079,0.447259,0.976606,1.013276,0.000952
19,7876,83,19383,571,0.971384,0.989572,0.288932,0.989572,0.711068,0.447271,0.97657,1.013313,0.001
20,7875,84,19380,574,0.971234,0.989446,0.288938,0.989446,0.711062,0.447265,0.976427,1.013333,0.00101
21,7875,84,19379,575,0.971184,0.989446,0.288948,0.989446,0.711052,0.447278,0.976391,1.013371,0.001071
22,7875,84,19378,576,0.971134,0.989446,0.288959,0.989446,0.711041,0.447291,0.976355,1.013408,0.001074
23,7875,84,19377,577,0.971083,0.989446,0.28897,0.989446,0.71103,0.447303,0.976319,1.013445,0.001085
24,7875,84,19376,578,0.971033,0.989446,0.28898,0.989446,0.71102,0.447316,0.976283,1.013482,0.001111
25,7875,84,19374,580,0.970933,0.989446,0.289001,0.989446,0.710999,0.447342,0.976212,1.013557,0.001111
26,7875,84,19373,581,0.970883,0.989446,0.289012,0.989446,0.710988,0.447354,0.976176,1.013594,0.001121
27,7874,85,19372,582,0.970833,0.98932,0.288997,0.98932,0.711003,0.447323,0.976104,1.013539,0.001163
28,7874,85,19371,583,0.970783,0.98932,0.289007,0.98932,0.710993,0.447336,0.976068,1.013577,0.0012
29,7874,85,19370,584,0.970733,0.98932,0.289018,0.98932,0.710982,0.447348,0.976033,1.013614,0.00125
30,7874,85,19369,585,0.970683,0.98932,0.289028,0.98932,0.710972,0.447361,0.975997,1.013651,0.00125
31,7874,85,19368,586,0.970632,0.98932,0.289039,0.98932,0.710961,0.447374,0.975961,1.013688,0.00125
32,7874,85,19367,587,0.970582,0.98932,0.28905,0.98932,0.71095,0.447386,0.975925,1.013726,0.001303
33,7874,85,19366,588,0.970532,0.98932,0.28906,0.98932,0.71094,0.447399,0.975889,1.013763,0.001333
34,7874,85,19364,590,0.970432,0.98932,0.289081,0.98932,0.710919,0.447424,0.975818,1.013837,0.001337
35,7874,85,19363,591,0.970382,0.98932,0.289092,0.98932,0.710908,0.447437,0.975782,1.013874,0.001353
36,7874,85,19362,592,0.970332,0.98932,0.289103,0.98932,0.710897,0.44745,0.975746,1.013912,0.001389
37,7874,85,19360,594,0.970232,0.98932,0.289124,0.98932,0.710876,0.447475,0.975674,1.013986,0.001481
38,7874,85,19359,595,0.970181,0.98932,0.289135,0.98932,0.710865,0.447488,0.975639,1.014023,0.001509
39,7874,85,19358,596,0.970131,0.98932,0.289145,0.98932,0.710855,0.447501,0.975603,1.014061,0.001538
40,7874,85,19357,597,0.970081,0.98932,0.289156,0.98932,0.710844,0.447513,0.975567,1.014098,0.001579
